"Assembly ID","Base Catalog Number","Illumina Sample Filename","ONT Sample Filename"
"ffac948eabba4089","17909","ILM3_2019AB07_17909D-5.fastq.gz","ONG1_2019AL05_17909D-5.fastq.gz"
"ff7742b2dd094f15","33563","ILM3_2020CC04_33563.fastq.gz","ONG3_2020CB03_33563.fastq.gz"
"ff531c0844064fac","9759","ILM2_2019AL02_9759D-5.fastq.gz","ONG2_2019DT01_9759D-5.fastq.gz"
"ff52cfae114144e1","35654","ILN1_2021AB35_35654.fastq.gz","ONG3_2021AH04_35654.fastq.gz"
"ff4d85707d5d48a2","27511","ILM2_2020AT10_27511.fastq.gz","ONG3_2020CF02_27511.fastq.gz"
"ff3638dbb3a6430a","27634","ILM3_2019AT10_27634D-5.fastq.gz","ONG2_2019AQ02_27634D-5.fastq.gz"
"ff147160c38f4af3","BAA-2789","ILM3_2019BE05_BAA-2789DX.fastq.gz","ONG2_2019CL02_BAA-2789DX.fastq.gz"
"ff01055cdd12430c","VR-825","ILM3_2020AV02_VR-825.fastq.gz",""
"fee9ef11a3d04815","33562","ILN1_2020AA17_33562.fastq.gz","ONG3_2020CX02_33562.fastq.gz"
"fed82796f61b4b90","8585","ILM3_2019CS01_8585D-5.fastq.gz","ONG2_2020AB01_8585D-5.fastq.gz"
"fec98a95dc2f4b93","700345","ILM2_2019AK12_700345D-5.fastq.gz","ONG2_2019EB04_700345D-5.fastq.gz"
"feb5a1a086704361","208821","ILM3_2019CG02_208821D-2.fastq.gz","ONG2_2019FA01_208821D-2.fastq.gz"
"fead212496e144ad","BAA-1583","ILM3_2019CK02_BAA-1583D-5.fastq.gz","ONG2_2019EI03_BAA-1583D-5.fastq.gz"
"fea5549ef4854fbd","7004","ILM3_2018AD02_7004.fastq.gz","ONG1_2018AK04_7004.fastq.gz"
"fe7db7f33f0e40a3","27844","ILM3_2019CP02_27844DX.fastq.gz","ONG2_2019EK07_27844DX.fastq.gz"
"fe60fed01283457e","13705","ILM2_2020AX05_13705.fastq.gz","ONG3_2020CN01_13705.fastq.gz"
"fe5355798dae48d1","BAA-3078","ILM3_2020AO07_BAA-3078.fastq.gz","ONG2_2020BA02_BAA-3078.fastq.gz"
"fe21900a7e1f4643","BAA-2784","ILM3_2019BL03_BAA-2784DX.fastq.gz","ONG2_2019CO03_BAA-2784DX.fastq.gz"
"fe197652a39848c7","BAA-1575","ILM3_2019CM05_BAA-1575D-5.fastq.gz","ONG2_2020AO04_BAA-1575D-5.fastq.gz"
"fe0e8023141f48a5","VR-2068","ILM1_2020ZD04_VR-2068.fastq.gz",""
"fda235c6976d4daa","49242","ILM3_2019BO11_49242D-5.fastq.gz","ONG2_2019DD05_49242D-5.fastq.gz"
"fd83015ba030445e","14206-B1","ILN1_2021AD28_14206.fastq.gz","ONG3_2021AX01_14206.fastq.gz"
"fd571e06185e46e9","25923","ILM3_2018AK09_25923D-5.fastq.gz","ONG2_2019BH05_25923D-5.fastq.gz"
"fd53aecf2e12464b","A-4447","ILM3_2020AN01_MYA-4447D-5.fastq.gz","ONG3_2020AC01_MYA-4447D-5.fastq.gz"
"fd43770f53304427","11296","ILN1_2020AA08_11296.fastq.gz","ONG3_2020CP04_11296.fastq.gz"
"fd335298aea848de","51767","ILM3_2019CF01_51767D-5.fastq.gz","ONG2_2019DV01_51767D-5.fastq.gz"
"fd31368a511f478f","A-4448","ILM3_2019CT04_MYA-4448D-5.fastq.gz","ONG2_2019FK04_MYA-4448D-5.fastq.gz"
"fd30b19dbe2d458c","33354","ILN1_2020AB16_33354.fastq.gz","ONG3_2020DB05_33354.fastq.gz"
"fd2ad63db65b48d4","25177","ILM3_2018AL02_25177D-5.fastq.gz","ONG2_2019AO03_25177D-5.fastq.gz"
"fcfe22036c6f4e1f","7004","ILM3_2018AD02_7004.fastq.gz","ONG1_2018AK04_7004.fastq.gz"
"fcea93920e924d46","35030","ILN1_2020AA28_35030.fastq.gz","ONG3_2020CS01_35030.fastq.gz"
"fcc748e47e794b9a","27340","ILM3_2019AK05_27340D-5.fastq.gz","ONM2_2019AC03_27340D-5.fastq.gz"
"fcc0a1dbffe74288","8585","ILM3_2019CS01_8585D-5.fastq.gz","ONG2_2020AB01_8585D-5.fastq.gz"
"fc5a7adb2956413c","6538P","ILM3_2019CN01_6538PDX.fastq.gz","ONG2_2019EK03_6538PDX.fastq.gz"
"fc3e7e0087274fc1","35743","ILM3_2019BL04_35743DX.fastq.gz","ONG2_2019FH06_35743DX.fastq.gz"
"fbcd514435734d19","BAA-1586","ILM3_2019CM07_BAA-1586D-5.fastq.gz","ONG2_2019EO04-BAA-1586D-5.fastq.gz"
"fbc2721a64f048da","15539","ILN1_2021AB11_15539.fastq.gz","ONG3_2021AE02_15539.fastq.gz"
"fbb65eb364c34efd","BAA-1833","ILM3_2020BG01_BAA-1833.fastq.gz","ONG3_2020AO01_BAA-1833.fastq.gz"
"fbb2c64102474c2f","27768","ILN1_2020AA43_27768.fastq.gz","ONG3_2020CU03_27768.fastq.gz"
"fb9235f1fae84983","25845","ILM3_2019AR05_25845D-5.fastq.gz","ONG2_2019AE04_25845D-5.fastq.gz"
"fb6f4ff9ddf341f6","43975","ILM3_2019AU08_43975D-5.fastq.gz","ONG2_2019AR01_43975D-5.fastq.gz"
"fb6760fe07564170","14293","ILN1_2021AB14_14293.fastq.gz","ONG3_2021AE04_14293.fastq.gz"
"fb59d5d9fe8c4cd7","VR-930","ILM3_2020BJ05_VR-930DQ.fastq.gz",""
"fb3885bc6fd749b8","27836","ILM3_2020BS06_27836.fastq.gz","ONG3_2020BO01_27836.fastq.gz"
"fb1faa1653424aab","33462","ILM3_2019BM12_33462D-5.fastq.gz","ONG2_2019DG07_33462D-5.fastq.gz"
"faf68cc8d8b0485b","82","ILM3_2019BG08_82D-5.fastq.gz","ONG2_2019CM01_82D-5.fastq.gz"
"faf50232fb3b4c72","BAA-2469","ILM3_2020CA02_BAA-2469.fastq.gz","ONG3_2020BQ06_BAA-2469.fastq.gz"
"fa3f726a0d0644ce","VR-734","ILM3_2019BI03_VR-734D.fastq.gz",""
"fa2219d5cada4d5d","BAA-2774","ILM3_2019BY01_BAA-2774DX.fastq","ONG2_2019DF03_BAA-2774DX.fastq.gz"
"f98cdc20d1cd4a18","14580","ILM3_2019AS10_14580D-5.fastq.gz","ONG2_2019BC05_14580D-5.fastq.gz"
"f9816b73de7c4745","12228","ILM3_2018AI04_12228D-5.fastq.gz","ONG2_2019AP04_12228D-5.fastq.gz"
"f92356d113494f57","VR-1762","ILM1_2020ZF02_VR-1762.fastq.gz",""
"f91b5e624fd440b4","201390","ILM3_2019AX02_201390D-5.fastq.gz","ONG2_2019DU02_201390D-5.fastq.gz"
"f906eec981484e2c","6314","ILM3_2019AY06_6314D-5.fastq.gz","ONG2_2019AU05_6314D-5.fastq.gz"
"f90186b2bcf14b18","VR-1290","ILM3_2020AX04_VR-1290.fastq.gz",""
"f8f7b04aad7b4d4b","700306","ILN1_2021AC31_700306.fastq.gz","ONG3_2021AS03_700306.fastq.gz"
"f8f3c9043cab418e","700603","ILM3_2019AK07_700603D-5.fastq.gz","ONM2_2019AC05_700603D-5.fastq.gz"
"f8f28db401404f57","47054","ILM3_2019AJ09_47054D-5.fastq.gz","ONG2_2019AJ04_47054D-5.fastq.gz"
"f8dd9b195449428e","14869","ILM3_2019BF02_14869DX.fastq.gz","ONG2_2019CI04_14869DX.fastq.gz"
"f8dc9d0b95434147","11842","ILM3_2019AG09_11842D-5.fastq","ONG2_2019BJ03_11842D-5.fastq.gz"
"f8708222eb73467f","6308","ILM3_2019CB08_6308D-5.fastq","ONG2_2019DS01_6308D-5.fastq.gz"
"f865e4fda5704dc2","BAA-3093","ILM3_2020AG08_BAA-3093.fastq.gz","ONG2_2020AN01_BAA-3093.fastq.gz"
"f850aca96e314013","33152","ILM3_2019AS04_33152DX.fastq.gz","ONG2_2019BQ03_33152DX.fastq.gz"
"f815c55771c3467b","700099","ILM2_2019AH08_700099D-5.fastq","ONG2_2019EE01_700099D-5.fastq.gz"
"f7fc72e9cf964441","VR-1354","ILM3_2019BI04_VR-1354D.fastq.gz",""
"f7d9eca6f24842ec","VR-106","ILM3_2020CP12_VR-106D.fastq.gz",""
"f7aa363a023a4bb0","BAA-1790","ILN1_2021AB43_BAA-1790.fastq.gz","ONG3_2021AI05_BAA-1790.fastq.gz"
"f7989846c5f2422c","19112","ILM3_2020CA12_19112.fastq.gz","ONG3_2020BY02_70034528.fastq.gz"
"f774516abbd6406d","35292","ILM3_2019AH10_35292D-5.fastq.gz","ONG2_2019AH02_35292D-5.fastq.gz"
"f7570fefc5444c02","29148","ILM3_2019AK04_29148D-5.fastq.gz","ONM2_2019AC02_29148D-5.fastq.gz"
"f7212885cb554ee1","VR-929","ILM3_2020BV03_VR-929D.fastq.gz",""
"f6d3d6eb3dde42d5","49619","ILM3_2019AS02_49619DX.fastq.gz","ONG2_2019BQ02_49619DX.fastq.gz"
"f6beecbaccc04244","9261","ILM3_2020BC03_9261.fastq.gz","ONG3_2020AN03_9261.fastq.gz"
"f6b627a1dd1a41a0","VR-540","ILM3_2020BL03_VR-540DQ.fastq.gz",""
"f6a7e5cf542848a2","BAA-471","ILM3_2019AR03_BAA-471D-5.fastq","ONG2_2019AM02_BAA-471D-5.fastq.gz"
"f657d86f78c24d4a","BAA-3062","ILM3_2020AG06_BAA-3062.fastq.gz","ONG2_2020AO01_BAA-3062.fastq.gz"
"f61fa10ab0d34def","700672","ILM3_2020BW12_700672.fastq.gz","ONG3_2020AO06_700672.fastq.gz"
"f5ed00093d5a4b7f","33403","ILN1_2021AA48_33403.fastq.gz","ONG3_2021AN03_33403.fastq.gz"
"f5bcb58692924cb7","12228","ILM3_2018AI04_12228D-5.fastq.gz","ONG2_2019AP04_12228D-5.fastq.gz"
"f5a207da784a4c87","19146","ILM3_2018AH07_19146D-5.fastq.gz","ONM1_2018AA04_19146D-5.fastq.gz"
"f59aca54360742ff","9610","ILM3_2020CA09_9610.fastq.gz","ONG3_2020BU01_9610.fastq.gz"
"f56f1e395dde44ea","BAA-1508","ILM3_2019CP09_BAA-1508D-5.fastq.gz","ONG2_2019EM03-BAA-1508D-5.fastq.gz"
"f52b8102e9ff472b","VR-2018","ILM3_2020BL04_VR-2018DQ.fastq.gz",""
"f527670a9ccc44ca","BAA-1705","ILM3_2019AR08_BAA-1705D-5.fastq.gz","ONG1_2018AL01_BAA-1705D-5.fastq.gz"
"f50a258170034ae4","BAA-149","ILM3_2019BM08_BAA-149D-5.fastq.gz","ONG2_2019DJ02_BAA-149D-5.fastq.gz"
"f501d17f19cd44fe","43037","ILM3_2018AJ05_43037D-5.fastq.gz","ONG2_2019AO02_43037D-5.fastq.gz"
"f4ec9e39a7fc432c","35545","ILM3_2020BY07_35545.fastq.gz","ONG3_2020BZ02_35545.fastq.gz"
"f4becec2353a40da","55456","ILM3_2020BG05_55456.fastq.gz","ONG3_2020AO05_55456.fastq.gz"
"f495c8bde25241e5","12121","ILN1_2021AC44_12121.fastq.gz","ONG3_2021AV01_12121.fastq.gz"
"f4876ae269a54847","23272","ILM3_2019AF09_23272D-5.fastq.gz","ONG2_2019AC02_23272D-5.fastq.gz"
"f4797151d42a4b5f","43909","ILN1_2021AB07_43909.fastq.gz","ONG3_2021AD01_43909.fastq.gz"
"f45bbc2d56dd47ae","19432","ILN1_2020AA21_19432.fastq.gz","ONG3_2020CY02_19432.fastq.gz"
"f4396ffeefca48d0","33624","ILM3_2019BJ05_33624D-5.fastq.gz","ONG2_2019CS02_33624D-5.fastq.gz"
"f40a533188a6474c","BAA-798","ILM2_2019AL10_BAA-798D-5.fastq.gz","ONG2_2019DT08_BAA-798D-5.fastq.gz"
"f3a3c1bd1c924184","BAA-3117","ILM3_2020BO12_BAA-3117.fastq.gz","ONG3_2020AV01_BAA-3117.fastq.gz"
"f398522e24ae4bdd","A-2876","ILM3_2019CQ02_MYA-2876D-5.fastq.gz","ONG2_2019FJ02_MYA-2876D-5.fastq.gz"
"f38955afa47a4035","BAA-854","ILM2_2019AL04_BAA-854D-5.fastq.gz","ONG2_2019DR02_BAA-854D-5.fastq.gz"
"f365372366b9455e","49397","ILN0_2020AA06_49397.fastq.gz","ONG3_2020BJ02_49397.fastq.gz"
"f36435e5b710446e","14580","ILM3_2018AF05_14580.fastq.gz","ONM2_2018AC06_14580.fastq.gz"
"f352606dd6584e7b","12428","ILM3_2020AD01_12428D-5.fastq.gz","ONG2_2019EU03_12428D-5.fastq.gz"
"f33647f64e1f4181","10536","ILM3_2019BE02_10536DX.fastq.gz","ONG2_2019CJ01_10536DX.fastq.gz"
"f321b6ecbc974689","VR-878","ILM3_2019BN08_VR-878D.fastq.gz",""
"f3206992c5ca460a","29002","ILM3_2020CE02_29002.fastq.gz","ONG3_2020BL02_29002.fastq.gz"
"f2f7febe5ab84d07","6904","ILM3_2019CJ08_6904D-5.fastq.gz","ONG2_2019EG02_6904D-5.fastq.gz"
"f2e330d65bf64103","25922","ILM2_2020AT11_25922.fastq.gz","ONG3_2020CF03_25922.fastq.gz"
"f2cd6c5e91974b59","33591","ILM3_2018AC03_33591D-5.fastq.gz","ONM1_2018AB03_33591D-5.fastq.gz"
"f2c529e30aae4556","VR-1819","ILM3_2020AV07_VR-1819.fastq.gz",""
"f29ea29fb08b4366","4356","ILM3_2019AT01_4356DX.fastq.gz","ONG2_2019BT01_4356DX.fastq.gz"
"f28f09737b0e4d44","9645","ILV0_2020AB14_9645D-2.fastq.gz","ONM0_2020AA03_9645D-2.fastq.gz"
"f283f36a5a9749f5","9592","ILM3_2018AD04_9592.fastq.gz","ONG1_2018AK06_9592.fastq.gz"
"f27e909c37b747c4","33246","ILN1_2020AB08_33246.fastq.gz","ONG3_2020DA02_33246.fastq.gz"
"f2215f4816764d27","VR-1493","ILM3_2019BP05_VR-1493D.fastq.gz",""
"f1bd3c06f4094bac","33091","ILM2_2019AB07_33091D-5.fastq.gz","ONG2_2019AS03_33091D-5.fastq.gz"
"f1b2bac57b06465d","BAA-3128","ILM3_2020BK02_BAA-3128.fastq.gz","ONG3_2020AU01_BAA-3128.fastq.gz"
"f18340a09f734e4c","BAA-3092","ILM3_2020BQ06_BAA-3092.fastq.gz","ONG3_2020BK04_BAA-3092.fastq.gz"
"f13ade04ffec495e","21013","ILN1_2020AC10_21013.fastq.gz","ONG3_2020DI04_21013.fastq.gz"
"f10884cd3e554bb1","29413","ILM3_2019AS07_29413D-5.fastq.gz","ONG2_2019BC02_29413D-5.fastq.gz"
"f1022474cbb44924","BAA-3125","ILM3_2020BK04_BAA-3125.fastq.gz","ONG3_2020AU03_BAA-3125.fastq.gz"
"f0d6ad4e0bd74045","53904","ILM3_2020CJ06_53904.fastq.gz","ONG3_2020CH04_53904.fastq.gz"
"f0883096d05042a2","39327","ILN1_2020AA31_39327.fastq.gz","ONG3_2020CS03_39327.fastq.gz"
"f0778ad7252a44e5","BAA-1691","ILM3_2020CC09_BAA-1691.fastq.gz","ONG3_2020CE04_BAA-1691.fastq.gz"
"f06657f025704600","35818","ILN1_2021AC08_35818.fastq.gz","ONG3_2021AO06_35818.fastq.gz"
"f004fd8b33544467","BAA-2794","ILM3_2020AH01_BAA-2794DX.fastq.gz","ONG2_2019DP02_BAA-2794DX.fastq.gz"
"eff1d7a5b67a4b17","13979","ILM3_2019CN10_13979D-5.fastq.gz","ONG2_2019EN01_13979D-5.fastq.gz"
"efe53fc4c6824add","6940","ILM3_2018AB04_6940D-5.fastq","ONG1_2019AL06_6940D-5.fastq.gz"
"efd34e8615e24ba7","VR-846","ILM3_2019BI02_VR-846D.fastq.gz",""
"ef97756526db4466","51445","ILM3_2020BW08_51445.fastq.gz","ONG3_2020BX03_51445.fastq.gz"
"ef8b1fdf8d6b4995","13883","ILM3_2019AE03_13883DX.fastq.gz","ONG1_2019AM11_13883DX_4C.fastq.gz"
"ef818614c72941a9","700394","ILM2_2019AG12_700394D-5.fastq.gz","ONG2_2019DI01_700394D-5.fastq.gz"
"ef75ae2b1de94883","BAA-611","ILM3_2018AA05_BAA-611D-5.fastq.gz","ONG2_2019AD02_BAA-611D-5.fastq.gz"
"ef725ca46f804e2d","BAA-3088","ILM3_2020AL05_BAA-3088.fastq.gz","ONG2_2020AR04_BAA-3088.fastq.gz"
"ef6900a139cb49d8","4698","ILM3_2018AB01_4698D-5.fastq.gz","ONG2_2019AD03_4698D-5.fastq.gz"
"ef57fb895b2d4adc","VR-1838","ILM3_2020BL02_VR-1838DQ.fastq.gz",""
"ef29ff96fae14b75","BAA-149","ILM3_2019BM08_BAA-149D-5.fastq.gz","ONG2_2019DJ02_BAA-149D-5.fastq.gz"
"eedd343668cb4b79","14884","ILM3_2018AF07_14884.fastq.gz","ONG1_2019AN06_14884.fastq.gz"
"eeb432ae59124964","BAA-3036","ILM3_2020AG02_BAA-3036.fastq.gz","ONG2_2020AM04_BAA-3036.fastq.gz"
"ee97ede037ed4823","700406","ILM3_2019BF10_700406D-5.fastq.gz","ONG2_2019CL05_700406D-5.fastq.gz"
"ee83ae776376455c","BAA-2313","ILM3_2019BQ11_BAA-2313DX.fastq.gz","ONG2_2019CX05_BAA-2313DX.fastq.gz"
"ee8276a736004b70","23050","ILN1_2020AA23_23050.fastq.gz","ONG3_2020CY03_23050.fastq.gz"
"ee6c466f32a94158","BAA-605","ILM3_2019AZ05_BAA-605D-5.fastq","ONG2_2019AZ05_BAA-605D-5.fastq.gz"
"ee65212684fe47e2","BAA-2893","ILM3_2020AU03_BAA-2893.fastq.gz","ONG2_2020BD06_BAA-2893.fastq.gz"
"ee631c199d3644db","19114","ILM3_2019AF05_19114D-5.fastq.gz","ONG2_2019AB02_19114D-5.fastq.gz"
"ee5c2fcda7b54d61","33469","ILN1_2020AB13_33469.fastq.gz","ONG3_2020DA06_33469.fastq.gz"
"ee40662aa2254370","BAA-2891","ILM3_2020AO01_BAA-2891.fastq.gz","ONG2_2020AU02_BAA-2891.fastq.gz"
"ee3c6161d11b4f82","700544","ILM3_2020AA04_700544D-5.fastq.gz","ONG2_2019ER02_700544D-5.fastq.gz"
"ee03e9713acc470f","36909","ILV0_2020AA28_36909D-5.fastq.gz","ONG2_2020AL03_36909D-5.fastq.gz"
"ede475969b264286","A-565","ILV0_2020AB21_MYA-565D-5.fastq.gz","ONM0_2020AA04_MYA-565D-5.fastq.gz"
"edad036cf49b4892","11633","ILN1_2021AA44_11633.fastq.gz","ONG3_2021AM03_11633.fastq.gz"
"ed8d9ff1e81b4d8b","BAA-3119","ILM3_2020BM03_BAA-3119.fastq.gz","ONG3_2020AV03_BAA-3119.fastq.gz"
"ed700d55334244be","11828","ILM3_2019BJ01_11828DX.fastq.gz","ONG2_2019CF01_11828DX.fastq.gz"
"ed6c75633c3f4830","367","ILM3_2018AK10_367D-5.fastq.gz","ONG2_2019BH02_367D-5.fastq.gz"
"ed58c9bc30724a08","35967","ILM3_2019AH09_35967D-5.fastq.gz","ONG2_2019AH01_35967D-5.fastq.gz"
"ed24e691683a4e97","VR-1896","ILM1_2019ZI03_VR-1896.fastq.gz",""
"ecd777a951064d06","10106","ILM3_2019CG01_10106D-5.fastq.gz","ONG2_2019FC01_10106D-5.fastq.gz"
"ecd0b6cf022740f9","33019","ILM3_2018AD08_33019.fastq.gz","ONG1_2018AK10_33019.fastq.gz"
"ecc4732d12894011","10240","ILM3_2019AK03_10240D-5.fastq.gz","ONM2_2019AC01_10240D-5.fastq.gz"
"ecafa1476bb748ee","BAA-1428","ILM3_2020CE03_BAA-1428.fastq.gz","ONG3_2020BL03_BAA-1428.fastq.gz"
"ec85829ad80b4fed","VR-1679","ILM3_2020CS01_VR-1679D.fastq.gz",""
"ec461572dd2546eb","42149","ILV0_2020AA02_42149D-2.fastq.gz","ONG3_2020BH02_42149D-2.fastq.gz"
"ec2c74a8e088463d","9321","ILM3_2018AK03_9321D-5.fastq.gz","ONG2_2019AN01_9321D-5.fastq.gz"
"ec079665a6ca4dfe","51459","ILM3_2020CE11_51459.fastq.gz","ONG3_2020BP02_51459.fastq.gz"
"ebfc9c166b814556","11775","ILM2_2020AT03_11775.fastq.gz","ONG3_2020CE01_11775.fastq.gz"
"ebad8c42748e436b","42720","ILM2_2020AB01_42720D-5.fastq.gz","ONG2_2020AF01_42720D-5.fastq.gz"
"eb9aaa3ac68446b0","BAA-2792","ILM3_2019BC01_BAA-2792DX.fastq","ONG2_2019FH03_BAA-2792DX.fastq.gz"
"eb9313f2e7714506","700615","ILM3_2019BG09_700615D-5.fastq.gz","ONG2_2019CM02_700615D-5.fastq.gz"
"eb8cf0dfead94331","BAA-2317","ILN1_2021AB40_BAA-2317.fastq.gz","ONG3_2021AI04_BAA-2317.fastq.gz"
"eb89561cd0a64fee","A-4449","ILM3_2019CS04_MYA-4449D-5.fastq.gz","ONG2_2020AB04_MYA-4449D-5.fastq.gz"
"eb6d03325ac349f6","19995","ILM3_2019CM03_19995D-5.fastq.gz","ONG2_2019ET02_19995D-5.fastq.gz"
"eb6cdd6f6c9f46f2","76901","ILM2_2019AP02_76901D-5.fastq.gz","ONG2_2020AY03_76901D-5.fastq.gz"
"eb67e25a71ef4bb0","9545","ILM3_2020CE08_9545.fastq.gz","ONG3_2020BO04_9545.fastq.gz"
"eb51385c01334d4c","BAA-1114","ILM3_2019CA09_BAA-1114D-5.fastq.gz","ONG2_2019ED02_BAA-1114D-5.fastq.gz"
"eb1b79caf2a54c84","6249","ILM2_2020AX08_6249.fastq.gz","ONG3_2020CN04_6249.fastq.gz"
"eb006e821d9849ec","BAA-1900","ILN1_2020AA03_BAA-1900.fastq.gz","ONG3_2020CP02_BAA-1900.fastq.gz"
"eaab4bfb8589402b","BAA-1116","ILM3_2019AB02_BAA-1116D-5.fastq.gz","ONG2_2019AP01_BAA-1116D-5.fastq.gz"
"eaa70d6358684721","BAA-587","ILM3_2019BF05_BAA-587D-5.fastq.gz","ONG2_2019CK03_BAA-587D-5.fastq.gz"
"ea846a66c9ca4681","BAA-138","ILM3_2019BJ08_BAA-138D-5.fastq.gz","ONG2_2019CS05_BAA-138D-5.fastq.gz"
"ea77c2301f364e3b","BAA-1511","ILM3_2019CH11_BAA-1511D-5.fastq.gz","ONG2_2019DS06_BAA-1511D-5.fastq.gz"
"ea1b623c4cd34631","43503","ILM3_2019BH09_43503D-5.fastq.gz","ONG2_2019CQ04_43503D-5.fastq.gz"
"ea08c4922c4a49ae","BAA-621","ILM3_2019BF11_BAA-621D-5.fastq","ONG2_2019CK04_BAA-621D-5.fastq.gz"
"ea07fc56aa59448c","334","ILM3_2019AD01_334D-5.fastq.gz","ONG2_2019BL05_334D-5.fastq.gz"
"e9dfddb382a34dcf","A-4448","ILM3_2019CT04_MYA-4448D-5.fastq.gz","ONG2_2019FK04_MYA-4448D-5.fastq.gz"
"e9d631828dd7487f","BAA-190","ILN1_2021AB39_BAA-190.fastq.gz","ONG3_2021AH05_BAA-190.fastq.gz"
"e9980271151640f9","49037","ILM3_2019AT08_49037D-5.fastq","ONG2_2019BE02_49037D-5.fastq.gz"
"e98410f9e52f4790","700677","ILN1_2020AC15_700677.fastq.gz","ONG3_2020DP02_700677.fastq.gz"
"e97dd03ee8664be1","BAA-334","ILM3_2019AJ05_BAA-334D-5.fastq.gz","ONM2_2019AD04_BAA-334D-5.fastq.gz"
"e96df0138939449c","BAA-2672","ILN1_2021AC28_BAA-2672.fastq.gz","ONG3_2021AR06_BAA-2672.fastq.gz"
"e95ca787855b4a80","A-4612","ILM3_2019AX03_MYA-4612D-5.fastq.gz","ONG2_2019DU01_MYA-4612D-5.fastq.gz"
"e925226434684316","BAA-977","ILM2_2019AG01_BAA-977DX.fastq","ONG2_2019DA01_BAA-977DX.fastq.gz"
"e8eb98ed07404b1d","3626","ILM3_2020AE02_3626DX.fastq.gz","ONG3_2020BM01_3626DX.fastq.gz"
"e8c3e87cfd4e457d","VR-824","ILM2_2019AF01_VR-824DQ.fastq.gz",""
"e8b3005b23f14bc7","2001","ILM3_2019AW02_2001D-5.fastq.gz","ONG2_2019FI01_2001D-5.fastq.gz"
"e8683b63e9bf4cee","BAA-3086","ILM3_2020AL09_BAA-3086.fastq.gz","ONG2_2020AU04_BAA-3086.fastq.gz"
"e85bc2dcb7be4c81","BAA-3115","ILM3_2020BH08_BAA-3115.fastq.gz","ONG3_2020AQ04_BAA-3115.fastq.gz"
"e8553a298ec3458e","33236","ILM3_2019AS06_33236D-5.fastq.gz","ONG2_2019BC01_33236D-5.fastq.gz"
"e84c1fd0c6b44b39","700819","ILM3_2018AK08_700819D-5.fastq","ONG2_2019BH04_700819D-5.fastq.gz"
"e83876a9b34041e0","BAA-3080","ILM3_2020BE01_BAA-3080.fastq.gz","ONG2_2020AW02_BAA-3080.fastq.gz"
"e82f9eaeda644cbe","VR-1737","ILM3_2020CP11_VR-1737D.fastq.gz",""
"e82cc082e40344a9","700802","ILM3_2018AI08_700802D-5.fastq.gz","ONG2_2019AE03_700802D-5.fastq.gz"
"e817af8bbf9742ce","BAA-2877","ILM3_2020AM04_BAA-2877.fastq.gz","ONG2_2020AX04_BAA-2877.fastq.gz"
"e80c0bce72da4d01","55677","ILM3_2020CC07_55677.fastq.gz","ONG3_2020CC01_55677.fastq.gz"
"e7fe46bb3bac48b1","19435","ILM3_2019BF07_19435D-5.fastq.gz","ONG2_2019CI05_19435D-5.fastq.gz"
"e7e5c127c9cd4920","19418","ILN1_2020AB10_19418.fastq.gz","ONG3_2020DA04_19418.fastq.gz"
"e7c285f168c24280","BAA-535","ILM3_2019AF02_BAA-535D-5.fastq.gz","ONG2_2019AA03_BAA-535D-5.fastq.gz"
"e7c257ebfc784420","27634","ILM3_2019AT10_27634D-5.fastq.gz","ONG2_2019AQ02_27634D-5.fastq.gz"
"e7ac268752c44f79","BAA-1457","ILM3_2019BH06_BAA-1457D-5.fastq.gz","ONG2_2019CO04_BAA-1457D-5.fastq.gz"
"e7a9fc0d0b8f48bc","21606","ILN1_2021AC07_21606.fastq.gz","ONG3_2021AO05_21606.fastq.gz"
"e76787be72674c52","10702","ILM2_2018AE04_10702.fastq.gz","ONG1_2018AJ04_10702.fastq.gz"
"e7617bcd71144e5b","19615","ILM3_2018AJ06_19615D-5.fastq.gz","ONG2_2019BG01_19615D-5.fastq.gz"
"e75925bd9467489e","12228","ILM3_2019CL02_12228DX.fastq.gz","ONG3_2020CV01_12228DX.fastq.gz"
"e72e5dca038946a8","VR-1400","ILM3_2020AX03_VR-1400.fastq.gz",""
"e6fd65dc02c148ec","6057","ILM3_2020BC01_6057.fastq.gz","ONG3_2020AN01_6057.fastq.gz"
"e6f57924976c4b79","201390","ILM3_2019AX02_201390D-5.fastq.gz","ONG2_2019DU02_201390D-5.fastq.gz"
"e6d1bf7ce27e4cff","19945","ILM3_2020BC06_19945.fastq.gz","ONG3_2020AL03_19945.fastq.gz"
"e6c42bc21e534b37","BAA-3051","ILM3_2020BM11_BAA-3051.fastq.gz","ONG3_2020AA03_BAA-3051.fastq.gz"
"e6a7aa11a8cf4b1c","33397","ILM3_2019CH07_33397DX.fastq.gz","ONG2_2019DW04_33397DX.fastq.gz"
"e696f80bfba44eb7","8750","ILM3_2019AY09_8750D-5.fastq.gz","ONG2_2019BF05_8750D-5.fastq.gz"
"e6630958bcc349cc","19210","ILM3_2019AI07_19210D-5.fastq.gz","ONG2_2019AL01_19210D-5.fastq.gz"
"e65dca25739b4f24","17931","ILN1_2021AE16_17931.fastq.gz","ONG3_2021BF03_17931.fastq.gz"
"e6549723ae154508","8293","ILM3_2019AB05_8293D-5.fastq.gz","ONG2_2019BL02_8293D-5.fastq.gz"
"e6464838e24d49dc","15826","ILN1_2021AB18_15826.fastq.gz","ONG3_2021AF02_15826.fastq.gz"
